address,status,x,y,address_id,full_address
彰化縣和美鎮南佃里嘉佃路145號,ok,199188.850,2664537.850,BLQ3379-0,彰化縣和美鎮南佃里011鄰嘉佃路１４５號
彰化縣和美鎮南佃里嘉佃路157號,ok,199206.450,2664554.470,BLQ3381-5,彰化縣和美鎮南佃里011鄰嘉佃路１５７號
彰化縣和美鎮南安路105號,ok,200249.460,2664558.340,BLT0579-0,彰化縣和美鎮源埤里003鄰南安路１０５號
彰化縣和美鎮南平路11號,ok,200084.980,2664200.050,BLV2968-1,彰化縣和美鎮鎮平里005鄰南平路１１號
彰化縣和美鎮南軒路３５９巷7號,ok,198327.920,2666116.460,BLV7393-5,彰化縣和美鎮雅溝里009鄰南軒路３５９巷７號
彰化縣和美鎮和厝路一段２７６號,ok,198725.810,2668667.030,BLS5839-6,彰化縣和美鎮月眉里003鄰和厝路一段２７６號
彰化縣和美鎮和厝路２段４８５號,ok,200038.150,2670236.540,BLR7622-3,彰化縣和美鎮塗厝里010鄰和厝路二段４８５號
彰化縣和美鎮和平街19號,ok,198736.780,2667497.260,BLR0800-6,彰化縣和美鎮和西里018鄰和平街１９號
彰化縣和美鎮和美鎮仁愛里和健路193巷98號,ok,197899.910,2666627.610,BLQ0978-6,彰化縣和美鎮仁愛里001鄰和健路１９３巷９８號
彰化縣和美鎮和美鎮仁昌路66號,ok,198705.810,2666909.010,BLS1510-8,彰化縣和美鎮山犁里013鄰仁昌路６６號
彰化縣和美鎮和美鎮嘉寶里福北路219號,ok,200480.590,2669136.780,BLR1892-0,彰化縣和美鎮嘉寶里005鄰福北路２１９號
彰化縣和美鎮和美鎮糖友里彰新路3段226號,ok,202154.850,2667244.500,BLT9006-3,彰化縣和美鎮糖友里011鄰彰新路三段２２６號
彰化縣和美鎮和美鎮美寮路二段480號,ok,199575.840,2667687.930,BLT6158-7,彰化縣和美鎮竹營里018鄰美寮路二段４８０號
彰化縣和美鎮和美鎮道周路438號2-3樓,ok,,,,
彰化縣和美鎮嘉佃路145號,ok,199188.850,2664537.850,BLQ3379-0,彰化縣和美鎮南佃里011鄰嘉佃路１４５號
彰化縣和美鎮嘉佃路296號,ok,199352.430,2664867.010,BLV2717-5,彰化縣和美鎮鎮平里002鄰嘉佃路２９６號
彰化縣和美鎮嘉寶里福北路219號,ok,200480.590,2669136.780,BLR1892-0,彰化縣和美鎮嘉寶里005鄰福北路２１９號
彰化縣和美鎮嘉犁里東坡路臨22號,ok,200879.100,2665320.580,BLR3212-3,彰化縣和美鎮嘉犁里007鄰東坡路臨２２號
彰化縣和美鎮四張里鎮西路74號,ok,197661.030,2667868.860,BLR5630-6,彰化縣和美鎮四張里007鄰鎮西路７４號
彰化縣和美鎮地潭里和厝路二段772號,ok,200648.390,2670563.620,JVS7612-7,彰化縣和美鎮地潭里001鄰和厝路二段臨７７２號
彰化縣和美鎮地潭里晉北路臨456號,ok,200729.490,2671403.100,BLR6752-9,彰化縣和美鎮地潭里002鄰晉北路臨４５６號
彰化縣和美鎮塗厝里和厝路2段485號,ok,200038.150,2670236.540,BLR7622-3,彰化縣和美鎮塗厝里010鄰和厝路二段４８５號
